":@computed_region_9z68_3kq5","case","cityname","cityname_address","cityname_city","cityname_state","cityname_zip","council","dow","ibr_code","location","occ_date","police_grid","police_zone","received_date","ucr_code","ucr_desc","x_coordinate","y_coordinate"
,"SL20159589",,,,,,,"7","90D",,"2015-01-17T20:53:12.000",,,"2015-01-17T20:53:12.000","5404-0","DUI ALCOHOL",,
,"SL20159396",,,,,,,"7","290",,"2015-01-17T15:22:17.000",,,"2015-01-17T15:22:17.000","2901-0","DAMAGED PROP",,
,"SL20159571",,,,,,,"7","90Z",,"2015-01-17T20:20:59.000",,,"2015-01-17T20:20:59.000","4902-0","ESCAPE",,
,"SL2015800291",,,,,,,"7","23F",,,,,,"2305-0","LARCENY",,
,"SL2015800724",,,,,,,"7","26C",,,,,,"2699-1","FRAUD",,
,"SL201510082",,,,,,,"1","280",,"2015-01-18T19:43:52.000",,,"2015-01-18T19:43:52.000","2803-0","STOLEN PROP",,
,"SL201511042",,,,,,,"3","0",,"2015-01-20T14:49:48.000",,,"2015-01-20T14:49:48.000","7399-99","PUBLIC ORDER",,
,"SL201511418",,,,,,,"4","0",,"2015-01-21T07:58:26.000",,,"2015-01-21T07:58:26.000","5499-6","NON MOV TRAF",,
,"SL201511521",,,,,,,"4","0",,"2015-01-21T10:40:38.000",,,"2015-01-21T10:40:38.000","5499-12","IMP/ABAND VEH",,
,"SL201511612",,,,,,,"4","0",,"2015-01-21T13:26:26.000",,,"2015-01-21T13:26:26.000","5499-12","IMP/ABAND VEH",,
,"SL201512169",,,,,,,"5","0",,"2015-01-22T12:25:47.000",,,"2015-01-22T12:25:47.000","5499-12","IMP/ABAND VEH",,
,"SL201512765",,,,,,,"6","0",,"2015-01-23T10:46:23.000",,,"2015-01-23T10:46:23.000","5499-6","NON MOV TRAF",,
,"SL201512882",,,,,,,"6","0",,"2015-01-23T14:04:32.000",,,"2015-01-23T14:04:32.000","5499-12","IMP/ABAND VEH",,
,"SL201512964",,,,,,,"6","90J",,"2015-01-23T16:13:26.000",,,"2015-01-23T16:13:26.000","5707-0","INV OF PRIVACY",,
,"SL201513054",,,,,,,"6","0",,"2015-01-23T18:06:43.000",,,"2015-01-23T18:06:43.000","5399-23","PUBLIC PEACE",,
,"SL201515500",,,,,,,"3","0",,"2015-01-27T20:36:35.000",,,"2015-01-27T20:36:35.000","5499-12","IMP/ABAND VEH",,
,"SL201515154",,,,,,,"3","23H",,"2015-01-27T10:31:51.000",,,"2015-01-27T10:31:51.000","2399-18","LARCENY",,
,"SL201515656",,,,,,,"3","26B",,"2015-01-28T07:46:08.000",,,"2015-01-28T07:46:08.000","2605-0","FRAUD",,
,"SL201515759",,,,,,,"4","0",,"2015-01-28T11:17:35.000",,,"2015-01-28T11:17:35.000","2499-14","STOLEN VEHICLE",,
,"SL201516048",,,,,,,"4","90J",,"2015-01-28T18:47:21.000",,,"2015-01-28T18:47:21.000","5707-0","INV OF PRIVACY",,
,"SL2015804941",,,,,,,"7","23F",,,,,,"2305-0","LARCENY",,
,"SL201516898",,,,,,,"6","90D",,"2015-01-30T02:09:15.000",,,"2015-01-30T02:09:15.000","5404-0","DUI ALCOHOL",,
,"SL2015186845",,,,,,,"3","0",,"2015-09-29T17:58:45.000",,,"2015-09-29T17:58:45.000","5499-8","NONREPTABL TA",,
,"SL201516940",,,,,,,"6","13A",,"2015-01-30T05:50:40.000",,,"2015-01-30T05:50:40.000","1302-0","ASSAULT",,
,"SL201517470",,,,,,,"6","290",,"2015-01-30T22:04:15.000",,,"2015-01-30T22:04:15.000","2999-1","DAMAGED PROP",,
,"SL201517530",,,,,,,"7","90D",,"2015-01-31T00:21:42.000",,,"2015-01-31T00:21:42.000","5404-0","DUI ALCOHOL",,
,"SL201518423",,,,,,,"1","23C",,"2015-02-01T15:04:02.000",,,"2015-02-01T15:04:02.000","2303-0","LARCENY",,
,"SL201519322",,,,,,,"3","0",,"2015-02-03T07:28:16.000",,,"2015-02-03T07:28:16.000","5499-12","IMP/ABAND VEH",,
,"SL201519768",,,,,,,"3","90Z",,"2015-02-03T20:01:12.000",,,"2015-02-03T20:01:12.000","4902-0","ESCAPE",,
,"SL201520379",,,,,,,"4","0",,"2015-02-04T18:09:15.000",,,"2015-02-04T18:09:15.000","5399-23","PUBLIC PEACE",,
,"SL201520028",,,,,,,"4","0",,"2015-02-04T10:05:52.000",,,"2015-02-04T10:05:52.000","7399-40","PUBLIC ORDER",,
,"SL201520457",,,,,,,"4","0",,"2015-02-04T20:38:01.000",,,"2015-02-04T20:38:01.000","7399-0","PUBLIC ORDER",,
,"SL201521460",,,,,,,"6","90Z",,"2015-02-06T08:15:21.000",,,"2015-02-06T08:15:21.000","4902-0","ESCAPE",,
,"SL201521538",,,,,,,"6","0",,"2015-02-06T10:48:11.000",,,"2015-02-06T10:48:11.000","5499-12","IMP/ABAND VEH",,
,"SL2015800578",,,,,,,"7","26C",,,,,,"2699-1","FRAUD",,
,"SL201530799",,,,,,,"6","0",,"2015-02-19T19:00:56.000",,,"2015-02-19T19:00:56.000","5499-8","NONREPTABL TA",,
,"SL201522136",,,,,,,"7","290",,"2015-02-07T00:56:06.000",,,"2015-02-07T00:56:06.000","2902-0","DAMAGED PROP",,
,"SL20157035",,,,,,"1","5","35A",,"2015-01-13T18:45:11.000",,"ADM","2015-01-13T18:45:11.000","3571-0","DRUGS","111111111","111111111"
,"SL201575800",,,,,,,"6","0",,"2015-05-01T18:19:33.000","40","40","2015-05-01T18:19:33.000","5499-7","REPORTABLE TA","1866912","891516"
,"SL2015175292",,,,,,"4","2","0","100 W 600 S                                                                                             ","2015-09-14T09:24:17.000","135","Z3","2015-09-14T09:24:17.000","5399-23","PUBLIC PEACE","1890463","882846"
,"SL201548844",,,,,,"2","6","26C","1700 W NORTH TEMPLE ST                                                                                   ","2015-03-20T09:32:35.000","113","Z1","2015-03-20T09:32:35.000","2699-1","FRAUD","1877912","888390"
,"SL2015118819",,,,,,"6","3","13B","2300 E EMERSON AVE                                                                                       ","2015-06-30T15:58:42.000","154","Z5","2015-06-30T15:58:42.000","4801-1","OBST POLICE","1910299","875750"
,"SL2015238024",,,,,,"4","3","23D","200 S RIO GRANDE ST                                                                                     ","2015-12-15T15:07:41.000","132","Z3","2015-12-15T15:07:41.000","2308-0","LARCENY","1888238","885862"
,"SL2015142073",,,,,,"3","5","220","1600 E ARLINGTON DR                                                                                      ","2015-07-31T19:04:45.000","141","Z4","2015-07-31T19:04:45.000","2204-0","BURGLARY","1904958","889314"
,"SL2015191306",,,,,,"2","6","13A","600 S EMERY ST                                                                                          ","2015-10-05T16:47:02.000","121","Z2","2015-10-05T16:47:02.000","1302-0","ASSAULT","1882505","882831"
,"SL201531836",,,,,,"4","7","0","800 E 300 S                                                                                             ","2015-02-21T11:19:21.000","143","Z4","2015-02-21T11:19:21.000","7399-3","PUBLIC ORDER","1898727","885131"
,"SL201533794",,,,,,"5","3","90Z","200 E WESTMINSTER AVE                                                                                   ","2015-02-24T15:04:57.000","161","Z6","2015-02-24T15:04:57.000","3599-98","DRUGS","1893476","872791"
,"SL201580401",,,,,,"5","5","23C","300 W HOPE AVE                                                                                          ","2015-05-07T23:24:13.000","152","Z5","2015-05-07T23:24:13.000","2303-0","LARCENY","1889051","876511"
,"SL2015240932",,,,,,"4","1","23F","500 S MAIN ST                                                                                           ","2015-12-20T07:00:51.000","135","Z3","2015-12-20T07:00:51.000","2305-0","LARCENY","1891831","883579"
,"SL2015779",,,,,,"5","6","23C","300 W HOPE AVE                                                                                          ","2015-01-02T17:40:48.000","152","Z5","2015-01-02T17:40:48.000","2303-0","LARCENY","1889051","876511"
,"SL2015160750",,,,,,"4","7","23H","900 E 200 S                                                                                             ","2015-08-25T12:23:20.000","143","Z4","2015-08-25T12:23:20.000","2309-0","LARCENY","1899331","885921"
,"SL2015804983",,,,,,"4","3","23F","1000 E 100 S                                                                                             ",,"143","Z4",,"2305-0","LARCENY","1900345","886709"
,"SL2015243446",,,,,,"4","5","90E","200 W 400 S                                                                                             ","2015-12-24T18:00:06.000","134","Z3","2015-12-24T18:00:06.000","7399-26","PUBLIC ORDER","1889838","884372"
,"SL2015145420",,,,,,"4","4","23H","800 S 600 E                                                                                             ","2015-08-05T00:50:04.000","144","Z4","2015-08-05T00:50:04.000","2309-0","LARCENY","1896578","881048"
,"SL201590151",,,,,,"4","6","250","300 S 400 W                                                                                             ","2015-05-22T16:44:42.000","132","Z7","2015-05-22T16:44:42.000","2501-0","FORGERY","1888665","884492"
,"SL201587807",,,,,,"3","3","90G","000 W NORTH TEMPLE ST                                                                                   ","2015-05-19T11:58:45.000","133","Z7","2015-05-19T11:58:45.000","4104-0","LIQUOR","1891445","888337"
,"SL2015114879",,,,,,"4","5","23H","200 E 400 S                                                                                             ","2015-06-25T11:51:01.000","144","Z3","2015-06-25T11:51:01.000","2399-18","LARCENY","1893540","884358"
,"SL2015110195",,,,,,"1","5","90E","1200 W NORTH TEMPLE ST                                                                                   ","2015-06-18T22:20:09.000","112","Z1","2015-06-18T22:20:09.000","7399-26","PUBLIC ORDER","1882368","888433"
,"SL201564245",,,,,,"4","2","13B","400 W 300 S                                                                                             ","2015-04-13T17:53:07.000","132","Z7","2015-04-13T17:53:07.000","1313-0","ASSAULT","1888519","885170"
,"SL2015190636",,,,,,"3","1","0","200 N STATE ST                                                                                          ","2015-10-04T17:24:08.000","131","Z3","2015-10-04T17:24:08.000","5499-8","NONREPTABL TA","1892714","889718"
,"SL201568639",,,,,,"4","1","290","200 S 200 W                                                                                             ","2015-04-20T15:18:39.000","132","Z7","2015-04-20T15:18:39.000","2902-0","DAMAGED PROP","1890255","885974"
,"SL2015188474",,,,,,"2","5","0","400 S 1000 W                                                                                            ","2015-10-01T18:43:24.000","121","Z2","2015-10-01T18:43:24.000","5399-23","PUBLIC PEACE","1883936","884264"
,"SL201573777",,,,,,"5","3","0","1300 S 800 E                                                                                             ","2015-04-28T18:17:00.000","153","Z5","2015-04-28T18:17:00.000","5499-7","REPORTABLE TA","1898148","877428"
,"SL2015100680",,,,,,"1","7","0","1800 W SPRINGFIELD RD                                                                                    ","2015-06-06T14:29:32.000","111","Z1","2015-06-06T14:29:32.000","7399-11","PUBLIC ORDER","1876993","898623"
,"SL201557993",,,,,,"4","3","90Z","100 S 600 W                                                                                             ","2015-04-03T18:54:40.000","132","Z7","2015-04-03T18:54:40.000","4902-0","ESCAPE","1887148","886204"
,"SL2015123100",,,,,,"4","2","90Z","300 S 600 E                                                                                             ","2015-07-06T10:53:51.000","142","Z4","2015-07-06T10:53:51.000","4902-0","ESCAPE","1896652","884583"
,"SL2015141140",,,,,,"3","5","0","100 E 1ST AVE                                                                                           ","2015-07-30T15:47:04.000","141","Z4","2015-07-30T15:47:04.000","7399-12","PUBLIC ORDER","1893144","888028"
,"SL201595387",,,,,,"1","7","0","000 NORTH TEMPLE ST                                                                                     ","2015-05-30T16:51:45.000","112","Z1","2015-05-30T16:51:45.000","5499-8","NONREPTABL TA","1878536","888418"
,"SL2015172494",,,,,,,"5","0",,"2015-09-10T13:05:43.000","40","40","2015-09-10T13:05:43.000","5499-8","NONREPTABL TA","1887974","885374"
,"SL201585383",,,,,,,"6","0",,"2015-05-15T15:36:54.000","40","40","2015-05-15T15:36:54.000","7399-1","PUBLIC ORDER","1869739","890270"
,"SL2015144272",,,,,,"7","2","0","2900 S HIGHLAND DR                                                                                       ","2015-08-03T15:38:32.000","162","Z6","2015-08-03T15:38:32.000","5499-8","NONREPTABL TA","1902163","864996"
,"SL2015223105",,,,,,"2","7","0","200 S 5600 W                                                                                            ","2015-11-21T08:14:41.000","124","Z2","2015-11-21T08:14:41.000","5399-23","PUBLIC PEACE","1854743","885997"
,"SL201557562",,,,,,"4","6","90Z","900 E 300 S                                                                                             ","2015-04-03T05:17:03.000","143","Z4","2015-04-03T05:17:03.000","4902-0","ESCAPE","1899017","885130"
,"SL20151588",,,,,,"4","1","0","100 W 600 S                                                                                             ","2015-01-04T06:38:48.000","135","Z7","2015-01-04T06:38:48.000","2499-14","STOLEN VEHICLE","1890539","882786"
,"SL2015147678",,,,,,"1","6","23H","1800 W CAVALLO DR                                                                                        ","2015-08-07T18:02:23.000","111","Z1","2015-08-07T18:02:23.000","2404-64","STOLEN VEHICLE","1877709","902050"
,"SL201573494",,,,,,"2","3","23G","200 S FOSS ST                                                                                           ","2015-04-28T11:21:05.000","121","Z2","2015-04-28T11:21:05.000","2304-0","LARCENY","1879721","885525"
,"SL2015198560",,,,,,"3","5","0","500 E 1ST AVE                                                                                           ","2015-10-15T20:20:51.000","141","Z4","2015-10-15T20:20:51.000","7399-99","PUBLIC ORDER","1896653","887954"
,"SL2015106229",,,,,,"4","7","90Z","300 W 400 S                                                                                             ","2015-06-13T16:26:48.000","132","Z7","2015-06-13T16:26:48.000","5499-0","TRAFFIC","1889084","884435"
,"SL2015145440",,,,,,"1","4","0","500 N SIR ANTHONY CIR                                                                                   ","2015-08-05T02:39:33.000","113","Z1","2015-08-05T02:39:33.000","5399-23","PUBLIC PEACE","1878098","892173"
,"SL201533621",,,,,,"4","3","35A","200 S RIO GRANDE ST                                                                                     ","2015-02-24T10:46:47.000","132","Z7","2015-02-24T10:46:47.000","3572-0","DRUGS","1888298","885767"
,"SL201585540",,,,,,"4","6","240","500 S MAIN ST                                                                                           ","2015-05-15T19:51:14.000","135","Z7","2015-05-15T19:51:14.000","2499-13","STOLEN VEHICLE","1891831","883579"
,"SL201589841",,,,,,"4","6","23H","400 S 300 E                                                                                             ","2015-05-22T09:10:29.000","144","Z4","2015-05-22T09:10:29.000","2399-19","LARCENY","1894271","883800"
,"SL201597134",,,,,,"5","3","13B","1100 S 700 E                                                                                             ","2015-06-02T00:50:52.000","153","Z5","2015-06-02T00:50:52.000","1313-0","ASSAULT","1897419","878520"
,"SL2015117473",,,,,,"4","1","280","600 W 500 S                                                                                             ","2015-06-28T19:08:09.000","134","Z7","2015-06-28T19:08:09.000","2804-0","STOLEN PROP","1887131","883650"
,"SL2015163140",,,,,,"3","6","90Z","500 N 600 W                                                                                             ","2015-08-28T14:36:47.000","131","Z3","2015-08-28T14:36:47.000","4902-0","ESCAPE","1887171","891915"
,"SL2015802096",,,,,,"3","6","23H","000 N Q ST                                                                                              ",,"141","Z4",,"2309-0","LARCENY","1900583","887869"
,"SL2015804245",,,,,,"3","5","26C","200 N RENDON CT                                                                                         ",,"131","Z3",,"2699-1","FRAUD","1886827","889854"
,"SL2015211379",,,,,,"4","3","0","400 W 200 S                                                                                             ","2015-11-03T10:02:08.000","132","Z3","2015-11-03T10:02:08.000","7399-1","PUBLIC ORDER","1888344","885963"
,"SL20155174",,,,,,"7","7","90Z","000 1100 E                                                                                              ","2015-01-10T14:24:35.000","162","Z6","2015-01-10T14:24:35.000","5401-0","HIT AND RUN","1900530","870242"
,"SL2015186709",,,,,,"4","6","23H","700 S 300 E                                                                                             ","2015-09-29T15:24:26.000","144","Z4","2015-09-29T15:24:26.000","2316-0","LARCENY","1894264","881757"
,"SL2015116661",,,,,,"4","6","90Z","300 E 400 S                                                                                             ","2015-06-27T16:01:37.000","142","Z4","2015-06-27T16:01:37.000","4902-0","ESCAPE","1894682","884414"
,"SL2015223026",,,,,,"4","7","0","700 S 400 E                                                                                             ","2015-11-21T01:01:21.000","144","Z4","2015-11-21T01:01:21.000","5399-23","PUBLIC PEACE","1894996","881663"
,"SL2015236928",,,,,,"5","2","13B","1300 S 1100 E                                                                                            ","2015-12-14T00:38:43.000","153","Z5","2015-12-14T00:38:43.000","1313-0","ASSAULT","1900526","876894"
,"SL2015145894",,,,,,"2","4","0","400 W 1300 S                                                                                            ","2015-08-05T16:32:12.000","123","Z2","2015-08-05T16:32:12.000","5399-87","PUBLIC PEACE","1888200","877442"
,"SL201511853",,,,,,"3","4","290","400 E 2ND AVE                                                                                           ","2015-01-21T20:11:06.000","141","Z4","2015-01-21T20:11:06.000","2902-0","DAMAGED PROP","1895886","888374"
,"SL201512141",,,,,,"7","5","90Z","2200 S HIGHLAND DR                                                                                       ","2015-01-22T11:27:10.000","163","Z6","2015-01-22T11:27:10.000","5401-0","HIT AND RUN","1900722","870700"
,"SL2015239896",,,,,,,"6","0",,"2015-12-18T14:16:42.000","40","40","2015-12-18T14:16:42.000","7399-5","PUBLIC ORDER","1867367","893605"
,"SL2015159426",,,,,,"5","1","90C","900 S MAIN ST                                                                                           ","2015-08-23T17:41:45.000","152","Z5","2015-08-23T17:41:45.000","5399-12","PUBLIC PEACE","1891876","879527"
,"SL2015226459",,,,,,"6","5","23G","1700 S MOHAWK CIR                                                                                        ","2015-11-27T01:27:06.000","154","Z5","2015-11-27T01:27:06.000","2304-0","LARCENY","1913416","874013"
,"SL2015141884",,,,,,"2","6","0","1900 S 5600 W                                                                                            ","2015-07-31T14:50:50.000","124","Z2","2015-07-31T14:50:50.000","5499-8","NONREPTABL TA","1854762","873359"
,"SL201554437",,,,,,,"7","0",,"2015-03-28T21:48:41.000","40","40","2015-03-28T21:48:41.000","7399-1","PUBLIC ORDER","1869739","890270"
,"SL201518903",,,,,,"4","2","13B","200 W 500 S                                                                                             ","2015-02-02T13:08:18.000","134","Z7","2015-02-02T13:08:18.000","1313-0","ASSAULT","1890176","883639"
,"SL2015156932",,,,,,,"5","0",,"2015-08-20T12:47:44.000","40","40","2015-08-20T12:47:44.000","5399-28","PUBLIC PEACE","1869739","890270"
,"SL2015144825",,,,,,"2","3","90Z","2000 S 900 W                                                                                             ","2015-08-04T10:42:17.000","123","Z2","2015-08-04T10:42:17.000","4902-0","ESCAPE","1884684","872260"
,"SL2015228035",,,,,,"5","1","90Z","000 W GROVE AVE                                                                                         ","2015-11-29T21:52:27.000","161","Z6","2015-11-29T21:52:27.000","4902-0","ESCAPE","1891516","872760"
,"SL201510937",,,,,,"4","2","220","300 S DOUGLAS ST                                                                                        ","2015-01-20T12:16:53.000","143","Z4","2015-01-20T12:16:53.000","2204-0","BURGLARY","1901748","885004"
,"SL201581555",,,,,,"7","7","23C","2200 S 1300 E                                                                                            ","2015-05-09T17:44:21.000","163","Z6","2015-05-09T17:44:21.000","2303-0","LARCENY","1902126","870438"
,"SL201578210",,,,,,"3","3","290","100 N CANYON RD                                                                                         ","2015-05-05T05:46:23.000","141","Z4","2015-05-05T05:46:23.000","2902-1","DAMAGED PROP","1893135","889055"
,"SL2015186024",,,,,,"5","2","0","1300 S EDISON ST                                                                                         ","2015-09-28T16:36:40.000","152","Z5","2015-09-28T16:36:40.000","5399-28","PUBLIC PEACE","1893007","877078"
,"SL2015804299",,,,,,"1","7","290","1100 N COLONEL RD                                                                                        ",,"111","Z1",,"2902-0","DAMAGED PROP","1876825","896737"
,"SL2015803047",,,,,,"4","2","23F","100 W 600 S                                                                                             ",,"135","Z7",,"2305-0","LARCENY","1890585","882786"
,"SL2015122361",,,,,,"5","1","0","1800 S STATE ST                                                                                          ","2015-07-05T02:51:22.000","161","Z6","2015-07-05T02:51:22.000","7399-5","PUBLIC ORDER","1892645","873312"
,"SL2015187378",,,,,,"5","4","35A","1300 S EDISON ST                                                                                         ","2015-09-30T12:07:33.000","152","Z5","2015-09-30T12:07:33.000","3532-0","DRUGS","1893008","877437"
,"SL2015805050",,,,,,"4","1","23F","1000 E 900 S                                                                                             ",,"151","Z5",,"2305-0","LARCENY","1900194","880434"
,"SL2015186205",,,,,,"2","2","0","800 W 800 S                                                                                             ","2015-09-28T21:41:19.000","122","Z2","2015-09-28T21:41:19.000","5399-18","PUBLIC PEACE","1884952","881220"
,"SL2015800605",,,,,,"7","1","23F","1200 E 2100 S                                                                                            ",,"163","Z6",,"2305-0","LARCENY","1901494","871487"
,"SL201593185",,,,,,"5","4","35A","1400 S STATE ST                                                                                          ","2015-05-27T15:27:55.000","152","Z5","2015-05-27T15:27:55.000","3562-0","DRUGS","1892595","875934"
,"SL201517952",,,,,,"3","7","0","000 E SOUTH TEMPLE ST                                                                                   ","2015-01-31T19:53:13.000","133","Z7","2015-01-31T19:53:13.000","5499-8","NONREPTABL TA","1891945","887593"
,"SL2015158622",,,,,,"5","7","13B","1900 S 300 E                                                                                             ","2015-08-22T14:21:36.000","161","Z6","2015-08-22T14:21:36.000","1313-0","ASSAULT","1894232","872817"
,"SL2015241832",,,,,,"1","2","0","700 N 900 W                                                                                             ","2015-12-21T19:07:27.000","111","Z1","2015-12-21T19:07:27.000","2499-14","STOLEN VEHICLE","1884800","893292"
,"SL2015193145",,,,,,"2","5","290","1900 W 500 S                                                                                             ","2015-10-08T09:30:47.000","124","Z2","2015-10-08T09:30:47.000","2903-0","DAMAGED PROP","1876053","883661"
,"SL2015116802",,,,,,"4","7","90G","500 S 200 W                                                                                             ","2015-06-27T19:08:48.000","134","Z7","2015-06-27T19:08:48.000","4104-0","LIQUOR","1890245","883500"
,"SL2015179737",,,,,,"5","1","23D","000 E HARRISON AVE                                                                                      ","2015-09-20T00:17:27.000","152","Z5","2015-09-20T00:17:27.000","2308-0","LARCENY","1892276","876961"
,"SL2015238571",,,,,,"3","4","0","300 N C ST                                                                                              ","2015-12-16T13:41:30.000","141","Z4","2015-12-16T13:41:30.000","2499-16","STOLEN VEHICLE","1894840","890813"
,"SL2015170460",,,,,,"5","2","23C","300 W HOPE AVE                                                                                          ","2015-09-07T12:50:11.000","152","Z5","2015-09-07T12:50:11.000","2303-0","LARCENY","1889051","876511"
,"SL2015200290",,,,,,"4","1","35A","500 W 300 S                                                                                             ","2015-10-18T11:07:17.000","132","Z3","2015-10-18T11:07:17.000","3512-0","DRUGS","1887858","885232"
,"SL2015128997",,,,,,"1","3","0",,"2015-07-14T11:10:25.000","113","Z1","2015-07-14T11:10:25.000","7399-1","PUBLIC ORDER","1866187","892608"
,"SL2015804926",,,,,,"1","5","0","100 N 1000 W                                                                                            ",,"112","Z1",,"7399-6","PUBLIC ORDER","1883930","888826"
,"SL201527297",,,,,,"3","6","0","200 W 600 N                                                                                             ","2015-02-13T22:24:01.000","131","Z3","2015-02-13T22:24:01.000","7399-1","PUBLIC ORDER","1890028","892292"
,"SL2015161373",,,,,,"1","4","0","800 N 900 W                                                                                             ","2015-08-26T09:19:12.000","111","Z1","2015-08-26T09:19:12.000","5399-28","PUBLIC PEACE","1884805","894429"
,"SL2015112728",,,,,,"5","2","90Z","1300 S STATE ST                                                                                          ","2015-06-22T10:41:33.000","152","Z5","2015-06-22T10:41:33.000","3599-98","DRUGS","1892598","876768"
,"SL201518033",,,,,,"7","7","0","2800 S 1100 E                                                                                            ","2015-01-31T22:05:01.000","162","Z6","2015-01-31T22:05:01.000","7399-40","PUBLIC ORDER","1900456","865275"
,"SL201523480",,,,,,,"2","90Z",,"2015-02-09T08:04:21.000",,,"2015-02-09T08:04:21.000","4902-0","ESCAPE",,
,"SL201523444",,,,,,,"2","90Z",,"2015-02-09T06:41:02.000",,,"2015-02-09T06:41:02.000","4803-0","OBST POLICE",,
